"Iteration","Converged","SignificantOSAGenes","CommonGenes","EligiblePoolGenes","SameSignSelectedGenes","SelectedPearson","Error"
126,TRUE,0,12958,110,52,0.602297622552087,
127,TRUE,0,12958,110,63,0.639958422947978,
128,TRUE,0,12958,110,63,0.580459552744596,
129,TRUE,0,12958,110,33,0.554992770846189,
130,TRUE,0,12958,110,47,0.748211562101458,
131,TRUE,0,12958,110,61,0.692908695657728,
132,TRUE,0,12958,110,41,0.773582790867348,
133,TRUE,0,12958,110,56,0.683449094249059,
134,TRUE,0,12958,110,53,0.79015837466477,
135,TRUE,0,12958,110,54,0.769428374934344,
136,TRUE,0,12958,110,61,0.713795986993176,
137,TRUE,0,12958,110,53,0.650619726506398,
138,TRUE,0,12958,110,53,0.671888039375913,
139,TRUE,0,12958,110,49,0.733229707601559,
140,TRUE,0,12958,110,44,0.718227684194457,
141,TRUE,0,12958,110,53,0.461925116094553,
142,TRUE,0,12958,110,63,0.583881160111875,
143,TRUE,0,12958,110,59,0.721336152111362,
144,TRUE,0,12958,110,74,0.656322431782219,
145,TRUE,0,12958,110,50,0.542510480594723,
146,TRUE,0,12958,110,62,0.589622274651792,
147,TRUE,0,12958,110,34,0.751111833153468,
148,TRUE,0,12958,110,51,0.67354850468786,
149,TRUE,0,12958,110,57,0.640287058993964,
150,TRUE,0,12958,110,52,0.657121186349666,
151,TRUE,0,12958,110,55,0.70467738957762,
152,TRUE,0,12958,110,56,0.600247057958359,
153,TRUE,0,12958,110,53,0.693221769213719,
154,TRUE,0,12958,110,46,0.774985043839646,
155,TRUE,0,12958,110,42,0.721468784946174,
156,TRUE,0,12958,110,53,0.529082662481932,
157,TRUE,0,12958,110,71,0.7520012989674,
158,TRUE,0,12958,110,52,0.716402777854494,
159,TRUE,0,12958,110,56,0.713967277166178,
160,TRUE,0,12958,110,73,0.659163496472367,
161,TRUE,0,12958,110,54,0.808498076200071,
162,TRUE,0,12958,110,54,0.744688707887058,
163,TRUE,0,12958,110,51,0.73922400862399,
164,TRUE,0,12958,110,58,0.70930826932234,
165,TRUE,0,12958,110,54,0.688486391563258,
166,TRUE,0,12958,110,49,0.772891077197654,
167,TRUE,0,12958,110,49,0.712094178127345,
168,TRUE,0,12958,110,57,0.590112006559533,
169,TRUE,0,12958,110,53,0.673381220586899,
170,TRUE,0,12958,110,59,0.674270561503495,
171,TRUE,0,12958,110,58,0.705144901303297,
172,TRUE,0,12958,110,62,0.633286314737338,
173,TRUE,0,12958,110,50,0.807122822209467,
174,TRUE,0,12958,110,67,0.655916619125064,
175,TRUE,0,12958,110,41,0.5088691007056,
176,TRUE,0,12958,110,52,0.76997633997076,
177,TRUE,0,12958,110,63,0.622451023819534,
178,TRUE,0,12958,110,39,0.562406153683073,
179,TRUE,0,12958,110,54,0.661304280324838,
180,TRUE,2,12958,110,72,0.607809566696551,
181,TRUE,0,12958,110,60,0.675678992330847,
182,TRUE,0,12958,110,56,0.677970850286716,
183,TRUE,0,12958,110,60,0.730311759599666,
184,TRUE,0,12958,110,66,0.605627410520611,
185,TRUE,0,12958,110,61,0.561330154283509,
186,TRUE,0,12958,110,57,0.704748403145355,
187,TRUE,0,12958,110,45,0.772749860027823,
188,TRUE,0,12958,110,72,0.603459338512575,
189,TRUE,0,12958,110,71,0.650331509720209,
190,TRUE,0,12958,110,56,0.609858587055628,
191,TRUE,0,12958,110,51,0.592181296013786,
192,TRUE,0,12958,110,40,0.65789045432325,
193,TRUE,0,12958,110,56,0.717803488038392,
194,TRUE,0,12958,110,61,0.588085515921935,
195,TRUE,0,12958,110,73,0.69333852357952,
196,TRUE,0,12958,110,54,0.556708439920448,
197,TRUE,0,12958,110,67,0.757949532631247,
198,TRUE,0,12958,110,48,0.77367745693777,
199,TRUE,0,12958,110,72,0.67956121143825,
200,TRUE,0,12958,110,48,0.697791211010672,
201,TRUE,0,12958,110,61,0.687024971795068,
202,TRUE,0,12958,110,50,0.71663789045343,
203,TRUE,0,12958,110,47,0.750911782167592,
204,TRUE,0,12958,110,47,0.656829813126244,
205,TRUE,0,12958,110,72,0.598390849815956,
206,TRUE,0,12958,110,51,0.483722890749531,
207,TRUE,0,12958,110,48,0.721435805048628,
208,TRUE,0,12958,110,52,0.661102143608621,
209,TRUE,0,12958,110,61,0.599105377687284,
210,TRUE,0,12958,110,68,0.746864658616167,
211,TRUE,0,12958,110,38,0.707063373315145,
212,TRUE,0,12958,110,65,0.706348673415563,
213,TRUE,0,12958,110,59,0.573195524659546,
214,TRUE,0,12958,110,67,0.755662140285147,
215,TRUE,0,12958,110,62,0.855043996189929,
216,TRUE,0,12958,110,53,0.704572418952859,
217,TRUE,0,12958,110,35,0.701477546575638,
218,TRUE,0,12958,110,56,0.64647754100432,
219,TRUE,0,12958,110,54,0.819625240062195,
220,TRUE,0,12958,110,33,0.674465106287508,
221,TRUE,0,12958,110,45,0.688189302075456,
222,TRUE,0,12958,110,62,0.697324243761258,
223,TRUE,0,12958,110,49,0.699577046407445,
224,TRUE,0,12958,110,69,0.663326396357913,
225,TRUE,0,12958,110,53,0.692522959735703,
226,TRUE,0,12958,110,59,0.686346772702692,
227,TRUE,0,12958,110,68,0.663218116634788,
228,TRUE,0,12958,110,56,0.614537345711816,
229,TRUE,0,12958,110,58,0.612392766371136,
230,TRUE,0,12958,110,45,0.454099510785144,
231,TRUE,0,12958,110,57,0.731771479478296,
232,TRUE,0,12958,110,50,0.677600108048267,
233,TRUE,0,12958,110,44,0.78736210132789,
234,TRUE,0,12958,110,64,0.662486785614002,
235,TRUE,0,12958,110,44,0.663419882432261,
236,TRUE,0,12958,110,57,0.71769371927398,
237,TRUE,0,12958,110,52,0.759537669335114,
238,TRUE,0,12958,110,48,0.728596812820583,
239,TRUE,0,12958,110,59,0.616896136604654,
240,TRUE,0,12958,110,64,0.617059768379586,
241,TRUE,0,12958,110,61,0.689756636986348,
242,TRUE,0,12958,110,76,0.627873986394541,
243,TRUE,0,12958,110,56,0.719949372113779,
244,TRUE,0,12958,110,60,0.603063662516285,
245,TRUE,0,12958,110,67,0.712810061553086,
246,TRUE,0,12958,110,38,0.645327242058038,
247,TRUE,0,12958,110,69,0.575380761232874,
248,TRUE,0,12958,110,63,0.550398747555615,
249,TRUE,0,12958,110,49,0.638152703015431,
250,TRUE,0,12958,110,65,0.63388721650697,
251,TRUE,0,12958,110,53,0.627351900906418,
252,TRUE,0,12958,110,56,0.777083665463,
253,TRUE,0,12958,110,54,0.759061007461168,
254,TRUE,0,12958,110,63,0.547736965997766,
255,TRUE,0,12958,110,44,0.672172056713516,
256,TRUE,0,12958,110,60,0.727444476227275,
257,TRUE,0,12958,110,56,0.523948156013804,
258,TRUE,0,12958,110,54,0.67575959287155,
259,TRUE,0,12958,110,67,0.645270571158395,
260,TRUE,0,12958,110,60,0.665052923610399,
261,TRUE,0,12958,110,54,0.835790517216589,
262,TRUE,0,12958,110,58,0.689233111631793,
263,TRUE,0,12958,110,54,0.64526280535569,
264,TRUE,0,12958,110,52,0.728597079791133,
265,TRUE,0,12958,110,60,0.561390772217547,
266,TRUE,4,12958,110,46,0.704130697242882,
267,TRUE,0,12958,110,52,0.681795914017808,
268,TRUE,0,12958,110,63,0.538618663593819,
269,TRUE,0,12958,110,46,0.642005593307921,
270,TRUE,0,12958,110,72,0.727485339486631,
271,TRUE,0,12958,110,58,0.661837460807019,
272,TRUE,0,12958,110,44,0.678631002180319,
273,TRUE,0,12958,110,46,0.67470594274965,
274,TRUE,0,12958,110,55,0.714509889081783,
275,TRUE,0,12958,110,63,0.786755566059031,
276,TRUE,0,12958,110,43,0.677568416012432,
277,TRUE,0,12958,110,62,0.682490016696428,
278,TRUE,0,12958,110,46,0.771386153797587,
279,TRUE,0,12958,110,53,0.768143242099252,
280,TRUE,0,12958,110,40,0.7120534753977,
281,TRUE,0,12958,110,59,0.711293064388276,
282,TRUE,0,12958,110,74,0.621404336170188,
283,TRUE,0,12958,110,59,0.653008730081602,
284,TRUE,0,12958,110,67,0.658512046158912,
285,TRUE,0,12958,110,40,0.67457010634878,
286,TRUE,0,12958,110,60,0.684509402935798,
287,TRUE,0,12958,110,55,0.744770864884036,
288,TRUE,0,12958,110,68,0.613232254170332,
289,TRUE,0,12958,110,52,0.734843009093963,
290,TRUE,0,12958,110,38,0.729163866679547,
291,TRUE,0,12958,110,43,0.748251670625618,
292,TRUE,0,12958,110,35,0.637203356246909,
293,TRUE,0,12958,110,37,0.809866646740627,
294,TRUE,0,12958,110,57,0.544452976876101,
295,TRUE,0,12958,110,60,0.661347933769376,
296,TRUE,0,12958,110,54,0.694760880477574,
297,TRUE,0,12958,110,60,0.607757364398875,
298,TRUE,0,12958,110,56,0.750058957774138,
299,TRUE,0,12958,110,40,0.311008081376497,
300,TRUE,0,12958,110,51,0.762466160783934,
301,TRUE,0,12958,110,49,0.763003323690351,
302,TRUE,0,12958,110,40,0.723753979759292,
303,TRUE,0,12958,110,47,0.548628735600916,
304,TRUE,0,12958,110,65,0.640660953907579,
305,TRUE,0,12958,110,62,0.743506654482847,
306,TRUE,0,12958,110,55,0.750739569528573,
307,TRUE,0,12958,110,74,0.622837099552702,
308,TRUE,0,12958,110,45,0.75764808598678,
309,TRUE,0,12958,110,49,0.79296815372978,
310,TRUE,0,12958,110,51,0.736941355262463,
311,TRUE,0,12958,110,79,0.691146748195025,
312,TRUE,0,12958,110,66,0.635824005123241,
313,TRUE,1,12958,110,38,0.738969578206218,
314,TRUE,0,12958,110,47,0.304465847076809,
315,TRUE,0,12958,110,51,0.687970572634501,
316,TRUE,0,12958,110,51,0.688894650429626,
317,TRUE,0,12958,110,45,0.465966011131545,
318,TRUE,0,12958,110,46,0.515641508197895,
319,TRUE,0,12958,110,44,0.681112173120777,
320,TRUE,0,12958,110,56,0.642312313933993,
321,TRUE,0,12958,110,36,0.737695266516665,
322,TRUE,0,12958,110,69,0.590109020172451,
323,TRUE,0,12958,110,54,0.707041396310311,
324,TRUE,0,12958,110,69,0.61859074778411,
325,TRUE,0,12958,110,41,0.630797128716498,
326,TRUE,0,12958,110,63,0.646544236813655,
327,TRUE,0,12958,110,63,0.651717703448861,
328,TRUE,0,12958,110,62,0.807909408074952,
329,TRUE,0,12958,110,66,0.63377886047172,
330,TRUE,0,12958,110,41,0.752374102770037,
331,TRUE,0,12958,110,71,0.685758879177305,
332,TRUE,0,12958,110,49,0.3907452282141,
333,TRUE,0,12958,110,59,0.678456585765329,
334,TRUE,0,12958,110,57,0.72668452309779,
335,TRUE,0,12958,110,44,0.742007984336136,
336,TRUE,0,12958,110,53,0.553246470304656,
337,TRUE,0,12958,110,71,0.691421056463168,
338,TRUE,0,12958,110,42,0.742126484985068,
339,TRUE,0,12958,110,51,0.598791425988722,
340,TRUE,0,12958,110,46,0.40653669666189,
341,TRUE,0,12958,110,56,0.687769207990586,
342,TRUE,0,12958,110,50,0.675906666380323,
343,TRUE,0,12958,110,61,0.707546837309019,
344,TRUE,0,12958,110,39,0.697334549268444,
345,TRUE,0,12958,110,36,0.738684777828127,
