"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"XK",84.2867098538535,2.23196592433186,0.281991061890187,7.91502365135611,2.47206094331215e-15,4.10584602074715e-11,TRUE
"NFATC3",2367.87879836202,-0.399570711202262,0.0533681991868516,-7.487056286147,7.04355010572124e-14,5.8493161852962e-10,TRUE
"IP6K3",190.785481343058,3.66588038174233,0.508226233120624,7.213087681903,5.46971685177513e-13,3.02821757303777e-09,TRUE
"TP53I3",215.146152219429,1.69793021870346,0.249175283371892,6.81420001103928,9.47897503631709e-12,3.91831998287227e-08,TRUE
"FAM9B",89.6456364521273,-1.28371541371147,0.189263436628162,-6.78269102887281,1.1795773324319e-11,3.91831998287227e-08,TRUE
"TSPAN3",1559.2031317988,0.784096162239324,0.118239938767323,6.63139858167801,3.32520977225557e-11,9.20473485123212e-08,TRUE
"ARRDC4",1200.0581526077,1.32187064474191,0.206085543511681,6.41418423736736,1.41578908223504e-10,3.3592629809774e-07,TRUE
"ZNF324",153.996823907396,-0.912581467928147,0.142783934067838,-6.3913455942079,1.64432270290609e-10,3.41381947157091e-07,TRUE
"KANSL1L",1554.27569915552,-0.437169009787261,0.0689873678623808,-6.33694288292527,2.34368823845437e-10,4.3251464391654e-07,TRUE
"PRAMEF10",53.1941359586346,6.27778660752683,1.00317424219119,6.25792244606929,3.90139733924256e-10,6.47983084074798e-07,TRUE
"SH3PXD2A",1307.09856009976,-1.0624050539604,0.17103012181268,-6.21180083777289,5.23807912705618e-10,7.90902329284329e-07,TRUE
"TSC22D1",1506.0984262832,0.691263962542585,0.115624780372413,5.97851049157553,2.25187112587159e-09,3.11677729413343e-06,TRUE
"TRANK1",1830.17776143191,-0.636077498920045,0.106946766850224,-5.94760849396086,2.72088419777795e-09,3.476243510838e-06,TRUE
"NAPEPLD",772.849553801934,-0.67731592957204,0.114447440993801,-5.91813957298291,3.25603608892053e-09,3.8628216714915e-06,TRUE
"B9D1",174.510528794991,-0.846695193865379,0.146615418460526,-5.77493965338535,7.69806700595104e-09,8.52381299345606e-06,TRUE
"RBM33",1907.38931544688,-0.430455302413148,0.0751958117961975,-5.72445847888188,1.03764180626455e-08,1.07713704751549e-05,TRUE
"CAMK1D",1359.55529439501,0.668521172124728,0.117988812692288,5.66597083969492,1.46194388112174e-08,1.42831917185594e-05,TRUE
"PPP1R9B",376.367161700794,0.600046001775538,0.107691768805026,5.57188361221841,2.51999757789911e-08,2.32525776507368e-05,TRUE
"PLEKHM3",446.054463590962,-0.328540243580804,0.0597572897191669,-5.49791071724971,3.84317416222944e-08,3.35954103476151e-05,TRUE
"B3GAT1",255.364091727564,-1.586419438046,0.298541465868468,-5.31389980762319,1.07303632214803e-07,8.9110301372783e-05,TRUE
"FMO1",141.15770065913,2.84247795877687,0.536178520137343,5.30136484775401,1.14940122797585e-07,9.09066904545282e-05,TRUE
"ACKR3",86.5550491128182,1.80182611882593,0.342489942990288,5.26096066674,1.43304690342419e-07,9.15160074149712e-05,TRUE
"AASS",3127.36710894582,-1.14076718790658,0.216918072895794,-5.25897714596885,1.44858889748879e-07,9.15160074149712e-05,TRUE
"ASS1",16493.2577032257,-1.12987610730891,0.214989066888372,-5.25550495968046,1.47618874881284e-07,9.15160074149712e-05,TRUE
"CTIF",806.928490790901,-0.639578572651046,0.121228779980598,-5.27579814589742,1.32179519427516e-07,9.15160074149712e-05,TRUE
"ZNF507",821.580865985999,-0.385701093293533,0.0734099022233112,-5.25407447240891,1.48770678560071e-07,9.15160074149712e-05,TRUE
"NMT2",761.187630798524,-0.357874566994795,0.0680336918422356,-5.26025498990524,1.43855770231909e-07,9.15160074149712e-05,TRUE
"GPR89B",902.77533489888,-0.376185546369236,0.0718827474266035,-5.23332176129388,1.66490547438201e-07,9.8758625085753e-05,TRUE
"MYO16",221.239221006753,-0.814832426093859,0.156398920009345,-5.20996197445078,1.88879338684304e-07,0.000108175756420952,TRUE
"GALNT18",329.134034049518,0.997883506786811,0.193561105214256,5.15539268946743,2.53099954794022e-07,0.00014012457163913,TRUE
"CDH23",566.178356976004,-0.784313787142188,0.152503459624378,-5.14292455445917,2.70494269148867e-07,0.000144923848912695,TRUE
