"n_group","rho","confounding","selection_fraction","replicates","reference_replicates","method","rejection_rate","wilson_lower","wilson_upper","mcse","covers_nominal_0.05","mean_selected_n","median_statistic"
16,0.1,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.034,0.0213345198085322,0.0537713655016345,0.00810481338464989,TRUE,33.498,0.778285540165112
16,0.1,"none",0.9,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,49.632,0.695652675408484
16,0.1,"none",0.9,500,499,"gene_label_complete_rule_replay",0.046,0.0308451083708162,0.0680777927682732,0.00936845771725528,TRUE,49.632,0.695652675408484
16,0.1,"none",0.9,500,499,"block_preserving_rule_replay",0.036,0.0228910609802927,0.0561843269680277,0.0083311463797007,TRUE,49.632,0.695652675408484
16,0.1,"none",0.9,500,499,"phenotype_complete_pipeline_MC",0.036,0.0228910609802927,0.0561843269680277,0.0083311463797007,TRUE,49.632,0.695652675408484
32,0.1,"none",0.1,500,499,"naive_fixed_set_gene_label",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.602,0
32,0.1,"none",0.1,500,499,"gene_label_complete_rule_replay",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.602,0
32,0.1,"none",0.1,500,499,"block_preserving_rule_replay",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.602,0
32,0.1,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.602,0
32,0.1,"none",0.25,500,499,"naive_fixed_set_gene_label",0.476,0.432574189433214,0.51979177890894,0.0223349054173059,FALSE,3.782,0.283349025972218
32,0.1,"none",0.25,500,499,"gene_label_complete_rule_replay",0.06,0.0423483564809462,0.0843610631252198,0.0106207344378814,TRUE,3.782,0.283349025972218
32,0.1,"none",0.25,500,499,"block_preserving_rule_replay",0.034,0.0213345198085322,0.0537713655016345,0.00810481338464989,TRUE,3.782,0.283349025972218
32,0.1,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.034,0.0213345198085322,0.0537713655016345,0.00810481338464989,TRUE,3.782,0.283349025972218
32,0.1,"none",0.5,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,14.888,0.883447852256387
32,0.1,"none",0.5,500,499,"gene_label_complete_rule_replay",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,14.888,0.883447852256387
32,0.1,"none",0.5,500,499,"block_preserving_rule_replay",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,14.888,0.883447852256387
32,0.1,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.042,0.0276323101084517,0.0633515857543301,0.00897061870775924,TRUE,14.888,0.883447852256387
32,0.1,"none",0.75,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,33.516,0.785447276880937
32,0.1,"none",0.75,500,499,"gene_label_complete_rule_replay",0.072,0.0524580314181262,0.0980684040169625,0.0115599307956406,FALSE,33.516,0.785447276880937
32,0.1,"none",0.75,500,499,"block_preserving_rule_replay",0.082,0.0610190894684689,0.109354859157389,0.0122699633251286,FALSE,33.516,0.785447276880937
32,0.1,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.052,0.0357302651157053,0.0751011439378455,0.00992935043192655,TRUE,33.516,0.785447276880937
32,0.1,"none",0.9,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,49.402,0.694559914341418
32,0.1,"none",0.9,500,499,"gene_label_complete_rule_replay",0.03,0.0182632131979134,0.0489036668359457,0.00762889244910426,FALSE,49.402,0.694559914341418
32,0.1,"none",0.9,500,499,"block_preserving_rule_replay",0.034,0.0213345198085322,0.0537713655016345,0.00810481338464989,TRUE,49.402,0.694559914341418
32,0.1,"none",0.9,500,499,"phenotype_complete_pipeline_MC",0.048,0.0324652069413532,0.0704271968358901,0.00955991631762538,TRUE,49.402,0.694559914341418
8,0.3,"none",0.1,500,499,"naive_fixed_set_gene_label",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.59,0
8,0.3,"none",0.1,500,499,"gene_label_complete_rule_replay",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.59,0
8,0.3,"none",0.1,500,499,"block_preserving_rule_replay",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.59,0
8,0.3,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0.004,0.00109763052268279,0.014465715215177,0.00282276460230038,FALSE,0.59,0
8,0.3,"none",0.25,500,499,"naive_fixed_set_gene_label",0.438,0.395148344086666,0.481797074130567,0.0221881049213312,FALSE,3.792,0
8,0.3,"none",0.25,500,499,"gene_label_complete_rule_replay",0.026,0.0152563839233272,0.0439714908342243,0.00711674082709213,FALSE,3.792,0
8,0.3,"none",0.25,500,499,"block_preserving_rule_replay",0.054,0.0373743501810575,0.0774265615106471,0.0101078187557949,TRUE,3.792,0
8,0.3,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,3.792,0
8,0.3,"none",0.5,500,499,"naive_fixed_set_gene_label",0.992,0.979612964165895,0.996884684819938,0.0039839678713564,FALSE,14.946,0.881353737269144
8,0.3,"none",0.5,500,499,"gene_label_complete_rule_replay",0.04,0.0260407973897773,0.0609735958348508,0.00876356092008266,TRUE,14.946,0.881353737269144
8,0.3,"none",0.5,500,499,"block_preserving_rule_replay",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,14.946,0.881353737269144
8,0.3,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.056,0.0390256206831515,0.0797447936467069,0.0102824121683582,TRUE,14.946,0.881353737269144
8,0.3,"none",0.75,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,33.706,0.776644567880402
8,0.3,"none",0.75,500,499,"gene_label_complete_rule_replay",0.046,0.0308451083708162,0.0680777927682732,0.00936845771725528,TRUE,33.706,0.776644567880402
8,0.3,"none",0.75,500,499,"block_preserving_rule_replay",0.046,0.0308451083708162,0.0680777927682732,0.00936845771725528,TRUE,33.706,0.776644567880402
8,0.3,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.04,0.0260407973897773,0.0609735958348508,0.00876356092008266,TRUE,33.706,0.776644567880402
8,0.3,"none",0.9,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,49.64,0.691302542978801
8,0.3,"none",0.9,500,499,"gene_label_complete_rule_replay",0.068,0.0490665074249069,0.0935209227338743,0.0112584190719657,TRUE,49.64,0.691302542978801
8,0.3,"none",0.9,500,499,"block_preserving_rule_replay",0.066,0.0473785263597739,0.0912394011608535,0.0111035129576184,TRUE,49.64,0.691302542978801
8,0.3,"none",0.9,500,499,"phenotype_complete_pipeline_MC",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,49.64,0.691302542978801
16,0.3,"none",0.1,500,499,"naive_fixed_set_gene_label",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.612,0
16,0.3,"none",0.1,500,499,"gene_label_complete_rule_replay",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.612,0
16,0.3,"none",0.1,500,499,"block_preserving_rule_replay",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.612,0
16,0.3,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0,4.33680868994202e-19,0.00762434046155224,0,FALSE,0.612,0
16,0.3,"none",0.25,500,499,"naive_fixed_set_gene_label",0.404,0.361879224693068,0.44758464867555,0.0219446576642243,FALSE,3.64,0
16,0.3,"none",0.25,500,499,"gene_label_complete_rule_replay",0.04,0.0260407973897773,0.0609735958348508,0.00876356092008266,TRUE,3.64,0
16,0.3,"none",0.25,500,499,"block_preserving_rule_replay",0.032,0.0197915136265711,0.0513448690454418,0.00787095928079926,TRUE,3.64,0
16,0.3,"none",0.25,500,499,"phenotype_complete_pipeline_MC",0.052,0.0357302651157053,0.0751011439378455,0.00992935043192655,TRUE,3.64,0
16,0.3,"none",0.5,500,499,"naive_fixed_set_gene_label",0.986,0.971386930862215,0.993202210209156,0.00525433154644813,FALSE,15.062,0.880151284376462
16,0.3,"none",0.5,500,499,"gene_label_complete_rule_replay",0.05,0.0340937452438494,0.0727681611715476,0.00974679434480896,TRUE,15.062,0.880151284376462
16,0.3,"none",0.5,500,499,"block_preserving_rule_replay",0.044,0.0292339556286072,0.0657194428723284,0.00917213170424411,TRUE,15.062,0.880151284376462
16,0.3,"none",0.5,500,499,"phenotype_complete_pipeline_MC",0.052,0.0357302651157053,0.0751011439378455,0.00992935043192655,TRUE,15.062,0.880151284376462
16,0.3,"none",0.75,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,33.848,0.768607498850611
16,0.3,"none",0.75,500,499,"gene_label_complete_rule_replay",0.044,0.0292339556286072,0.0657194428723284,0.00917213170424411,TRUE,33.848,0.768607498850611
16,0.3,"none",0.75,500,499,"block_preserving_rule_replay",0.046,0.0308451083708162,0.0680777927682732,0.00936845771725528,TRUE,33.848,0.768607498850611
16,0.3,"none",0.75,500,499,"phenotype_complete_pipeline_MC",0.044,0.0292339556286072,0.0657194428723284,0.00917213170424411,TRUE,33.848,0.768607498850611
16,0.3,"none",0.9,500,499,"naive_fixed_set_gene_label",1,0.992375659538448,1,0,FALSE,49.1,0.691883154116481
16,0.3,"none",0.9,500,499,"gene_label_complete_rule_replay",0.046,0.0308451083708162,0.0680777927682732,0.00936845771725528,TRUE,49.1,0.691883154116481
16,0.3,"none",0.9,500,499,"block_preserving_rule_replay",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,49.1,0.691883154116481
16,0.3,"none",0.9,500,499,"phenotype_complete_pipeline_MC",0.058,0.0406837291117572,0.082056187856255,0.0104533248299285,TRUE,49.1,0.691883154116481
32,0.3,"none",0.1,500,499,"naive_fixed_set_gene_label",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.596,0
32,0.3,"none",0.1,500,499,"gene_label_complete_rule_replay",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.596,0
32,0.3,"none",0.1,500,499,"block_preserving_rule_replay",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.596,0
32,0.3,"none",0.1,500,499,"phenotype_complete_pipeline_MC",0.002,0.000353136394559275,0.0112407067051468,0.00199799899899875,FALSE,0.596,0
