"Gene","Module","MAD","kME","HubRule"
"CFDP1","blue",0.648087860286982,0.916989441764333,"topology_only_abs_kME"
"MED18","blue",0.557941392330799,0.914303516661185,"topology_only_abs_kME"
"RPL21","blue",0.776262694560299,0.914078602305527,"topology_only_abs_kME"
"PFDN6","blue",0.681213626028363,0.912832782445333,"topology_only_abs_kME"
"PRAP1","blue",1.05788664485043,0.912051299591156,"topology_only_abs_kME"
"RPS27L","blue",0.766520589884817,0.910423434986383,"topology_only_abs_kME"
"OCIAD2","blue",0.475287957146524,0.910068424932291,"topology_only_abs_kME"
"GGCT","blue",0.582248905704921,0.906796873015978,"topology_only_abs_kME"
"TNRC6A","green",0.614021406423439,0.95674918165214,"topology_only_abs_kME"
"PHIP","green",0.852464791863547,0.951821426154901,"topology_only_abs_kME"
"NFIB","green",0.716277158987197,0.947752942431501,"topology_only_abs_kME"
"BDP1","green",0.664496755751073,0.943532884530928,"topology_only_abs_kME"
"CHD9","green",0.622077224419818,0.941563527880913,"topology_only_abs_kME"
"ZNF292","green",0.633439886404807,0.938596310710042,"topology_only_abs_kME"
"RB1CC1","green",0.571182496709051,0.936222390414144,"topology_only_abs_kME"
"KMT2E","green",0.629575861277416,0.932522397895435,"topology_only_abs_kME"
"ITSN2","green",0.439022206394557,0.930944165046066,"topology_only_abs_kME"
"HYCC2","green",0.577201123933229,0.929398694941744,"topology_only_abs_kME"
"PRRC2C","green",0.693761533970777,0.926331502885316,"topology_only_abs_kME"
"ROCK1","green",0.425229551575537,0.921922594047864,"topology_only_abs_kME"
"RDX","green",0.398468892769545,0.920506872876485,"topology_only_abs_kME"
"GCC2","green",0.700477172720315,0.919374738357023,"topology_only_abs_kME"
"SETD5","green",0.552267403341617,0.917228568820505,"topology_only_abs_kME"
"TRIM33","green",0.46141522888078,0.914722647419613,"topology_only_abs_kME"
"HOOK3","green",0.469591212635739,0.914524389872212,"topology_only_abs_kME"
"GOLGA4","green",0.557176524681374,0.914098511756907,"topology_only_abs_kME"
"BAZ2B","green",0.641321791050213,0.911155916259096,"topology_only_abs_kME"
"RAB3GAP2","green",0.377148489107445,0.909718058345096,"topology_only_abs_kME"
"RABAC1","yellow",0.596557222508681,0.965630892268776,"topology_only_abs_kME"
"SLC33A2","yellow",0.602652943929166,0.952291222078536,"topology_only_abs_kME"
"BAD","yellow",0.402860748512127,0.945366286877875,"topology_only_abs_kME"
"MBD3","yellow",0.687099682669978,0.939360699399942,"topology_only_abs_kME"
"OGFR","yellow",0.501155895016802,0.938831856081807,"topology_only_abs_kME"
"METRN","yellow",0.943887683496023,0.937402082141263,"topology_only_abs_kME"
"CLTB","yellow",0.449568519309845,0.932812300523706,"topology_only_abs_kME"
"TP53I13","yellow",0.541676885899943,0.924330411681441,"topology_only_abs_kME"
"TSR3","yellow",0.403429880660268,0.923615259751355,"topology_only_abs_kME"
"RARRES2","yellow",0.638276834593507,0.92086959706615,"topology_only_abs_kME"
"NUBP2","yellow",0.530326524140158,0.919668184528984,"topology_only_abs_kME"
"ZNF524","yellow",0.407134581426827,0.91924976461732,"topology_only_abs_kME"
"SCAND1","yellow",0.827018595326481,0.917899984501628,"topology_only_abs_kME"
"RNASEH2C","yellow",0.514190834196249,0.917650165396499,"topology_only_abs_kME"
"NME3","yellow",0.616461004094013,0.914636406875044,"topology_only_abs_kME"
"CHLSN","yellow",0.477238718720121,0.913995929395876,"topology_only_abs_kME"
"MRPL55","yellow",0.439887172042175,0.908892153176051,"topology_only_abs_kME"
"EXOSC4","yellow",0.509365754589081,0.904976457817668,"topology_only_abs_kME"
"STK11","yellow",0.42723380489579,0.90377762727816,"topology_only_abs_kME"
"JOSD2","yellow",0.585734261874151,0.903153862348145,"topology_only_abs_kME"
"SPARCL1","pink",0.810614166758975,0.865891814465719,"topology_only_abs_kME"
"MYH11","pink",1.2931544446968,0.863736757231324,"topology_only_abs_kME"
"RERGL","pink",0.655847209159192,0.8607263409365,"topology_only_abs_kME"
"CLDN10","pink",0.547915640115662,0.837453981685633,"topology_only_abs_kME"
"SMOC2","pink",0.553776227351589,0.834433261568233,"topology_only_abs_kME"
"EPCAM","pink",0.545029591272891,0.814526924640317,"topology_only_abs_kME"
"LMOD1","pink",0.550715653301764,0.811157065816081,"topology_only_abs_kME"
"SLIT3","pink",0.451222352523924,0.809824264258338,"topology_only_abs_kME"
"SLC5A1","pink",0.462800076715901,0.809359713360307,"topology_only_abs_kME"
"CHST4","pink",0.57895710772713,0.801044116992392,"topology_only_abs_kME"
"XRN1","brown",0.727745258873687,0.958325341574897,"topology_only_abs_kME"
"DICER1","brown",0.673536541911398,0.956426968779084,"topology_only_abs_kME"
"MED13L","brown",0.694735146549045,0.951611229508309,"topology_only_abs_kME"
"HIPK3","brown",0.59235998720537,0.939510732574673,"topology_only_abs_kME"
"SOX5","brown",0.619473991771138,0.936832405147695,"topology_only_abs_kME"
"AKAP11","brown",0.537285277829495,0.935657570759277,"topology_only_abs_kME"
"HECTD1","brown",0.556966617358476,0.932263965756862,"topology_only_abs_kME"
"UBR5","brown",0.394561103028723,0.931116411431226,"topology_only_abs_kME"
"MED13","brown",0.564957176827854,0.92875872354067,"topology_only_abs_kME"
"NF1","brown",0.488791362957285,0.928378937771789,"topology_only_abs_kME"
"EP300","brown",0.551778786975786,0.924134862777976,"topology_only_abs_kME"
"MON2","brown",0.393272244418906,0.92349377487391,"topology_only_abs_kME"
"MACF1","brown",0.608430303093692,0.922905804090671,"topology_only_abs_kME"
"WDFY3","brown",0.739547677567179,0.917455054150209,"topology_only_abs_kME"
"CLASP1","brown",0.500380502656003,0.917178052223856,"topology_only_abs_kME"
"BIRC6","brown",0.715674094282673,0.916615775311353,"topology_only_abs_kME"
"UBR2","brown",0.454386027106424,0.914999021234471,"topology_only_abs_kME"
"ARHGAP42","brown",0.490578798518722,0.914685464365734,"topology_only_abs_kME"
"LYST","brown",0.510841869171772,0.913572976859084,"topology_only_abs_kME"
"BRWD3","brown",0.685394722337002,0.910404609248578,"topology_only_abs_kME"
"HAAO","tan",0.721353438916753,0.943624987436214,"topology_only_abs_kME"
"YPEL3","tan",0.790980255070655,0.901695439481692,"topology_only_abs_kME"
"AGFG2","tan",0.496966827053456,0.895663756171493,"topology_only_abs_kME"
"GCDH","tan",0.728598999041524,0.892095981134112,"topology_only_abs_kME"
"PACSIN3","tan",0.692844512819656,0.889286933204399,"topology_only_abs_kME"
"SUN2","tan",0.400277093744079,0.889020522484591,"topology_only_abs_kME"
"SLC27A5","tan",0.49616025315065,0.86457179266296,"topology_only_abs_kME"
"STK40","tan",0.423163314106272,0.863260512269386,"topology_only_abs_kME"
"MKNK2","tan",0.559302511070299,0.85825244221465,"topology_only_abs_kME"
"HDAC5","tan",0.375058615415241,0.828621342780487,"topology_only_abs_kME"
"CLDN14","tan",0.51843739057157,0.816135165977502,"topology_only_abs_kME"
"GPRC5C","tan",0.453479944777148,0.814238543024296,"topology_only_abs_kME"
"PC","tan",0.615907925548507,0.81019535182156,"topology_only_abs_kME"
"GLYCTK","tan",0.408770665783185,0.806202403453622,"topology_only_abs_kME"
"BLVRB","tan",0.415024746002903,0.80078462015799,"topology_only_abs_kME"
"NHERF2","purple",0.500716838104877,0.901438123993503,"topology_only_abs_kME"
"ATP5F1D","purple",0.502772192356828,0.898490411898551,"topology_only_abs_kME"
"PPP1R16A","purple",0.431695338433724,0.89269214638954,"topology_only_abs_kME"
"RNF126","purple",0.448625876336141,0.88913324857128,"topology_only_abs_kME"
"ZNF628","purple",0.375396085818836,0.882785361015338,"topology_only_abs_kME"
"DHRS4","purple",0.513066240418839,0.880342000938478,"topology_only_abs_kME"
"RAB11B","purple",0.380377769746259,0.877491223005954,"topology_only_abs_kME"
"SELENOO","purple",0.541190094099326,0.87477604886058,"topology_only_abs_kME"
"SCAF1","purple",0.414520166558877,0.871342326076355,"topology_only_abs_kME"
"MIB2","purple",0.472652390208776,0.857402882317848,"topology_only_abs_kME"
"BTBD2","purple",0.432179134905728,0.855101183648955,"topology_only_abs_kME"
"ZNF414","purple",0.471256954246184,0.837434285902129,"topology_only_abs_kME"
"COL18A1","purple",0.461977666166408,0.834177171898122,"topology_only_abs_kME"
"PNPLA2","purple",0.575174556993719,0.833525335082662,"topology_only_abs_kME"
"ZNF771","purple",0.435492812768734,0.825560217942061,"topology_only_abs_kME"
"IRF2BPL","purple",0.43570182457293,0.822719143069077,"topology_only_abs_kME"
"HSF1","purple",0.448551232360905,0.821726782938757,"topology_only_abs_kME"
"IGFALS","purple",0.851343048193073,0.801367724379345,"topology_only_abs_kME"
"HPX","magenta",0.532181881488403,0.926026849988828,"topology_only_abs_kME"
"DPAGT1","magenta",0.408840548830812,0.904818989190049,"topology_only_abs_kME"
"VTN","magenta",0.461169944216056,0.901903298538498,"topology_only_abs_kME"
"AGT","magenta",0.381717758178537,0.882101443397005,"topology_only_abs_kME"
"SERPINA1","magenta",0.516586641210903,0.873096171511048,"topology_only_abs_kME"
"C2","magenta",0.432509322816628,0.846952429475684,"topology_only_abs_kME"
"SERPINA6","magenta",0.42580965650561,0.842178901269831,"topology_only_abs_kME"
"HSD17B2","magenta",0.47248267354997,0.830718731486177,"topology_only_abs_kME"
"GANAB","magenta",0.376606168871275,0.818305754356153,"topology_only_abs_kME"
"MPI","magenta",0.369627449540657,0.816925778362687,"topology_only_abs_kME"
"C1R","magenta",0.428760121932095,0.815171022937195,"topology_only_abs_kME"
"NAGA","magenta",0.38169022396844,0.803194033748464,"topology_only_abs_kME"
"SLC1A4","magenta",0.385466273167643,0.800388383526727,"topology_only_abs_kME"
"KDM6B","greenyellow",0.401994998947171,0.937256577491738,"topology_only_abs_kME"
"KMT2B","greenyellow",0.452918625957258,0.925716744072779,"topology_only_abs_kME"
"TNRC18","greenyellow",0.554465188217454,0.918042747147622,"topology_only_abs_kME"
"PKD1","greenyellow",0.658182489373499,0.917631488930519,"topology_only_abs_kME"
"AHDC1","greenyellow",0.484506531466755,0.911836515507869,"topology_only_abs_kME"
"FLCN","greenyellow",0.556949749447999,0.900906819048644,"topology_only_abs_kME"
"GIGYF1","greenyellow",0.486859988111214,0.89868061315645,"topology_only_abs_kME"
"NOL9","greenyellow",0.45489938803951,0.879263861167315,"topology_only_abs_kME"
"MIDN","greenyellow",0.470017477862218,0.867383811995287,"topology_only_abs_kME"
"FOXK1","greenyellow",0.608048684875792,0.866360150273362,"topology_only_abs_kME"
"NHSL1","greenyellow",0.686963899556027,0.852966827534105,"topology_only_abs_kME"
"BANP","greenyellow",0.390744046770788,0.846225599168486,"topology_only_abs_kME"
"MEX3D","greenyellow",0.51846807758514,0.842304037296643,"topology_only_abs_kME"
"UNKL","greenyellow",0.380624772117566,0.834247115173069,"topology_only_abs_kME"
"FBXO46","greenyellow",0.402535585937049,0.833317927668786,"topology_only_abs_kME"
"BICRA","greenyellow",0.37469186835197,0.83325652044862,"topology_only_abs_kME"
"SIPA1L3","greenyellow",0.424411225041308,0.829838899922758,"topology_only_abs_kME"
"GET4","greenyellow",0.460242838346306,0.828170708689441,"topology_only_abs_kME"
"RUBCN","greenyellow",0.406070772238512,0.824264516306375,"topology_only_abs_kME"
"ZNF865","greenyellow",0.425489484190874,0.822505494911758,"topology_only_abs_kME"
